Designator,Footprint,Quantity,Value,LCSC Part #
"C7, C8",0603,2,15pF,
C9,0603,1,1nF,
CARD1,TF-SMD_TF-PUSH,1,TF PUSH,C393941
D5,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,USBLC6-2SC6_C2687116,C2687116
F1,1206,1,500mA,
FB1,0805,1,Ferrite 600R@100MHz,
FLASH1,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
J1,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
L1,1210,1,3.3uH,
LED1,LED-SMD_4P-L6.8-W2.4_VEML7700-TR,1,VEML7700-TR,C504893
"LED10, LED100, LED101, LED102, LED103, LED104, LED105, LED106, LED107, LED108, LED109, LED11, LED110, LED111, LED112, LED113, LED114, LED115, LED116, LED117, LED118, LED119, LED12, LED120, LED121, LED123, LED124, LED125, LED126, LED127, LED128, LED129, LED13, LED130, LED131, LED132, LED133, LED134, LED135, LED136, LED137, LED138, LED139, LED14, LED140, LED141, LED142, LED143, LED144, LED146, LED147, LED148, LED149, LED15, LED150, LED151, LED152, LED153, LED154, LED155, LED156, LED157, LED158, LED159, LED16, LED160, LED161, LED162, LED163, LED164, LED166, LED167, LED168, LED169, LED17, LED170, LED171, LED172, LED173, LED174, LED175, LED176, LED177, LED178, LED179, LED18, LED180, LED181, LED182, LED183, LED184, LED185, LED186, LED187, LED188, LED189, LED19, LED190, LED191, LED192, LED193, LED194, LED195, LED196, LED197, LED198, LED199, LED2, LED20, LED200, LED201, LED202, LED203, LED204, LED205, LED206, LED207, LED208, LED209, LED21, LED210, LED211, LED212, LED213, LED214, LED215, LED216, LED217, LED218, LED219, LED22, LED220, LED221, LED222, LED223, LED224, LED225, LED226, LED227, LED228, LED229, LED23, LED230, LED231, LED232, LED233, LED234, LED235, LED236, LED237, LED238, LED239, LED24, LED240, LED241, LED242, LED243, LED244, LED245, LED246, LED247, LED248, LED249, LED25, LED250, LED251, LED252, LED253, LED254, LED255, LED256, LED257, LED258, LED259, LED26, LED260, LED261, LED262, LED263, LED264, LED265, LED266, LED267, LED268, LED269, LED27, LED270, LED271, LED272, LED273, LED274, LED275, LED276, LED277, LED278, LED279, LED28, LED280, LED281, LED282",LED-SMD_4P-L1.5-W1.5-BL,200,SK6805-EC15,C2890035
"LED283, LED284, LED285, LED286, LED287, LED288, LED289, LED29, LED290, LED291, LED292, LED293, LED294, LED295, LED296, LED297, LED298, LED299, LED3, LED30, LED300, LED301, LED302, LED303, LED304, LED305, LED306, LED307, LED308, LED309, LED31, LED310, LED311, LED312, LED313, LED314, LED315, LED316, LED317, LED318, LED319, LED32, LED320, LED321, LED322, LED323, LED324, LED325, LED326, LED327, LED328, LED329, LED33, LED330, LED331, LED332, LED333, LED334, LED335, LED336, LED337, LED338, LED339, LED34, LED340, LED341, LED342, LED343, LED344, LED345, LED346, LED347, LED348, LED349, LED35, LED350, LED351, LED352, LED353, LED354, LED355, LED356, LED357, LED358, LED359, LED36, LED360, LED361, LED362, LED363, LED364, LED365, LED366, LED367, LED368, LED369, LED37, LED370, LED371, LED372, LED373, LED374, LED375, LED376, LED377, LED378, LED379, LED38, LED380, LED381, LED382, LED383, LED384, LED385, LED386, LED387, LED39, LED390, LED399, LED4, LED40, LED402, LED41, LED411, LED414, LED42, LED426, LED43, LED435, LED436, LED437, LED439, LED44, LED440, LED441, LED442, LED447, LED448, LED449, LED45, LED451, LED452, LED453, LED454, LED459, LED46, LED460, LED461, LED463, LED464, LED465, LED466, LED47, LED471, LED472, LED475, LED476, LED477, LED478, LED48, LED49, LED5, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED6, LED60, LED61, LED62, LED63, LED64, LED65, LED66, LED67, LED68, LED69, LED7, LED70, LED71, LED72, LED73, LED74, LED75, LED76, LED77, LED78, LED79, LED8, LED80, LED81, LED82, LED83, LED84",LED-SMD_4P-L1.5-W1.5-BL,200,SK6805-EC15,C2890035
"LED85, LED87, LED88, LED89, LED9, LED90, LED91, LED92, LED93, LED94, LED95, LED96, LED97, LED98, LED99",LED-SMD_4P-L1.5-W1.5-BL,15,SK6805-EC15,C2890035
"R10, R13",0603,2,470,
"R28, R29, R30, R31, R36, R37",0603,6,10k,
"R3, R7, R8",0603,3,1k,
"R32, R33",0603,2,5.1k,
"R34, R35",0603,2,27,
"R40, R41",0402,2,4.7k,
R6,0603,1,33,
RP2350,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,1,RP2350A,
SPK1,SPK-TH_BD23.0-P10.00-D0.8-L-RD,1,GSPK2308P-8R0.5W,C530532
"SW2, SW3",KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,2,SKRPACE010,C139797
"SW41, SW49, SW55, SW56, SW57, SW58, SW59, SW60",SW-TH_FG-TC-12E-02-8H,8,FG-TC-12E-02-8H,C54141282
"TP18, TP19, TP20, TP21, TP22",TestPoint_Pad_D1.5mm,5,Breakout,
"U1, U10, U11, U13, U14, U15, U16, U17, U19, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39, U4, U40, U41, U42, U44, U45, U46, U47, U5, U7, U8, U9",SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,41,CH604ASR,C2830877
U12,SOT-23-5,1,AP2112K-3.3,
"U18, U3, U43",SSOP-24_5.3x8.2mm_P0.65mm,3,CD74HC4067SM,
U2,LGA-14_L3.0-W2.5-P0.50-TL,1,LSM6DS3TR-C,C967633
U48,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,
U6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,SN74LVC1T45DBVR,C7843
USB1,USB-C_SMD-TYPE-C-31-M-12,1,USB-TYPE-C-018,C2927038
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322512MSB4SI,C9002
